algo,params,AF,Recall,QPS,tApprox,tTrue,w,t_min,t_max,min_h_seen,neg_h_count
LSH,k=2;L=5;w=2.0;seed=1,1.133738,0.203600,12.898678,0.003500,0.073992,2,0.319665,1.47953,-27,351661
LSH,k=2;L=5;w=4.0;seed=1,1.047594,0.512400,11.529720,0.012614,0.074079,4,0.63933,2.95905,-14,327321
LSH,k=2;L=5;w=6.0;seed=1,1.020089,0.729200,10.002373,0.025710,0.074229,6,0.958995,4.43858,-9,302217
LSH,k=2;L=5;w=8.0;seed=1,1.008815,0.861000,8.650827,0.041155,0.074403,8,1.27866,5.9181,-7,276755
LSH,k=2;L=10;w=2.0;seed=1,1.083651,0.336500,12.279395,0.007209,0.074190,2,0.168389,1.85595,-27,648538
LSH,k=2;L=10;w=4.0;seed=1,1.019366,0.724200,9.926769,0.026332,0.074366,4,0.336779,3.71189,-14,602419
LSH,k=2;L=10;w=6.0;seed=1,1.005088,0.906900,7.809480,0.053614,0.074395,6,0.505168,5.56784,-9,557466
LSH,k=2;L=10;w=8.0;seed=1,1.001367,0.970400,6.214068,0.086515,0.074369,8,0.673558,7.42379,-7,513639
LSH,k=2;L=15;w=2.0;seed=1,1.058272,0.446400,11.778349,0.010610,0.074252,2,0.0293158,1.9382,-27,905191
LSH,k=2;L=15;w=4.0;seed=1,1.009362,0.840600,8.765525,0.039596,0.074448,4,0.0586317,3.87639,-14,833504
LSH,k=2;L=15;w=6.0;seed=1,1.001678,0.965300,5.870040,0.089403,0.080906,6,0.0879475,5.81459,-9,764773
LSH,k=2;L=15;w=8.0;seed=1,1.000233,0.993800,4.506674,0.141372,0.080476,8,0.117263,7.75279,-7,699687
LSH,k=3;L=5;w=2.0;seed=1,1.313740,0.066600,12.411693,0.000400,0.080125,2,0.266861,1.85595,-27,537932
LSH,k=3;L=5;w=4.0;seed=1,1.119307,0.259300,12.092905,0.002760,0.079888,4,0.533722,3.71189,-14,503074
LSH,k=3;L=5;w=6.0;seed=1,1.053723,0.481900,5.646782,0.008090,0.168953,6,0.800583,5.56784,-9,468044
LSH,k=3;L=5;w=8.0;seed=1,1.026315,0.672400,6.829252,0.017025,0.129352,8,1.06744,7.42379,-7,433023
LSH,k=3;L=10;w=2.0;seed=1,1.231827,0.111700,13.285032,0.000772,0.074464,2,0.0293158,1.9382,-27,905191
LSH,k=3;L=10;w=4.0;seed=1,1.070651,0.402600,12.677603,0.005056,0.073787,4,0.0586317,3.87639,-14,833504
LSH,k=3;L=10;w=6.0;seed=1,1.024198,0.683200,11.261853,0.015326,0.073425,6,0.0879475,5.81459,-9,764773
LSH,k=3;L=10;w=8.0;seed=1,1.007739,0.863400,9.587464,0.030876,0.073389,8,0.117263,7.75279,-7,699687
LSH,k=3;L=15;w=2.0;seed=1,1.188081,0.153800,13.398873,0.001106,0.073492,2,0.00269224,1.9382,-27,1310719
LSH,k=3;L=15;w=4.0;seed=1,1.047617,0.510600,12.337206,0.007465,0.073554,4,0.00538449,3.87639,-14,1212291
LSH,k=3;L=15;w=6.0;seed=1,1.012857,0.798600,10.460187,0.022021,0.073541,6,0.00807673,5.81459,-9,1118721
LSH,k=3;L=15;w=8.0;seed=1,1.003146,0.936300,7.823820,0.054132,0.073645,8,0.010769,7.75279,-7,1030809
LSH,k=4;L=5;w=2.0;seed=1,1.629073,0.022887,13.542250,0.000075,0.073732,2,0.168389,1.85595,-27,648538
LSH,k=4;L=5;w=4.0;seed=1,1.232955,0.131600,13.516132,0.000531,0.073418,4,0.336779,3.71189,-14,602419
LSH,k=4;L=5;w=6.0;seed=1,1.106096,0.297800,13.232210,0.002109,0.073427,6,0.505168,5.56784,-9,557466
LSH,k=4;L=5;w=8.0;seed=1,1.054172,0.492700,12.672831,0.005364,0.073509,8,0.673558,7.42379,-7,513639
LSH,k=4;L=10;w=2.0;seed=1,1.485412,0.044204,13.571022,0.000148,0.073502,2,0.00269224,1.9382,-27,1142768
LSH,k=4;L=10;w=4.0;seed=1,1.156303,0.223400,13.400338,0.001086,0.073503,4,0.00538449,3.87639,-14,1054379
LSH,k=4;L=10;w=6.0;seed=1,1.060178,0.457800,12.830931,0.004393,0.073508,6,0.00807673,5.81459,-9,970065
LSH,k=4;L=10;w=8.0;seed=1,1.022963,0.701800,11.797213,0.011195,0.073531,8,0.010769,7.75279,-7,890454
LSH,k=4;L=15;w=2.0;seed=1,1.414304,0.062600,13.552638,0.000212,0.073536,2,0.00269224,1.9382,-27,1570734
LSH,k=4;L=15;w=4.0;seed=1,1.122676,0.282600,13.313794,0.001536,0.073538,4,0.00538449,3.87639,-14,1439414
LSH,k=4;L=15;w=6.0;seed=1,1.039060,0.571100,12.524843,0.006494,0.073310,6,0.00807673,5.81459,-9,1316347
LSH,k=4;L=15;w=8.0;seed=1,1.012038,0.810900,11.129308,0.016425,0.073389,8,0.010769,7.75279,-7,1202810
LSH,k=2;L=5;w=2.0;seed=2,1.131367,0.213400,12.955393,0.003673,0.073478,2,0.0236881,1.84075,-27,308897
LSH,k=2;L=5;w=4.0;seed=2,1.046374,0.513100,11.496488,0.013673,0.073271,4,0.0473763,3.68149,-13,288492
LSH,k=2;L=5;w=6.0;seed=2,1.018760,0.737400,9.942325,0.026973,0.073570,6,0.0710644,5.52224,-9,268490
LSH,k=2;L=5;w=8.0;seed=2,1.007717,0.871600,8.525582,0.043870,0.073385,8,0.0947526,7.36298,-7,248838
LSH,k=2;L=10;w=2.0;seed=2,1.081712,0.346500,12.480261,0.006564,0.073526,2,0.0236881,1.85392,-27,631465
LSH,k=2;L=10;w=4.0;seed=2,1.019276,0.723700,10.196558,0.024424,0.073610,4,0.0473763,3.70783,-13,586427
LSH,k=2;L=10;w=6.0;seed=2,1.005150,0.906500,7.980607,0.051792,0.073475,6,0.0710644,5.56175,-9,541765
LSH,k=2;L=10;w=8.0;seed=2,1.001367,0.971500,6.401408,0.082505,0.073672,8,0.0947526,7.41566,-7,496939
LSH,k=2;L=15;w=2.0;seed=2,1.058129,0.444300,11.932264,0.010119,0.073650,2,0.0236881,1.98234,-27,869866
LSH,k=2;L=15;w=4.0;seed=2,1.009559,0.838100,8.931842,0.038378,0.073542,4,0.0473763,3.96469,-13,797295
LSH,k=2;L=15;w=6.0;seed=2,1.001485,0.966800,6.531312,0.079340,0.073730,6,0.0710644,5.94703,-9,728604
LSH,k=2;L=15;w=8.0;seed=2,1.000274,0.992800,4.963442,0.127782,0.073653,8,0.0947526,7.92937,-7,663340
LSH,k=3;L=5;w=2.0;seed=2,1.309810,0.066800,13.502053,0.000357,0.073669,2,0.0236881,1.85392,-27,481118
LSH,k=3;L=5;w=4.0;seed=2,1.118309,0.267700,13.139960,0.002317,0.073749,4,0.0473763,3.70783,-13,450899
LSH,k=3;L=5;w=6.0;seed=2,1.053041,0.490900,12.425832,0.006831,0.073609,6,0.0710644,5.56175,-9,420038
LSH,k=3;L=5;w=8.0;seed=2,1.024936,0.679600,11.356243,0.014804,0.073211,8,0.0947526,7.41566,-7,388434
LSH,k=3;L=10;w=2.0;seed=2,1.228299,0.114800,13.435320,0.000754,0.073639,2,0.0236881,1.98234,-27,869866
LSH,k=3;L=10;w=4.0;seed=2,1.070949,0.406500,12.793867,0.004863,0.073265,4,0.0473763,3.96469,-13,797295
LSH,k=3;L=10;w=6.0;seed=2,1.023391,0.692800,11.412135,0.014396,0.073185,6,0.0710644,5.94703,-9,728604
LSH,k=3;L=10;w=8.0;seed=2,1.007499,0.868800,9.761639,0.028839,0.073564,8,0.0947526,7.92937,-7,663340
LSH,k=3;L=15;w=2.0;seed=2,1.184198,0.159100,13.287699,0.001116,0.074103,2,0.0236881,1.98234,-27,1323359
LSH,k=3;L=15;w=4.0;seed=2,1.047312,0.518200,11.322616,0.007853,0.080419,4,0.0473763,3.96469,-13,1203417
LSH,k=3;L=15;w=6.0;seed=2,1.011817,0.814000,9.614644,0.023569,0.080392,6,0.0710644,5.94703,-9,1091675
LSH,k=3;L=15;w=8.0;seed=2,1.002746,0.941800,7.140344,0.059568,0.080435,8,0.0947526,7.92937,-7,988064
